Date,Type,Strength,Full name,,Full name,Frequency
11/08/2020,wind,high,high wind,,high wind,1
11/09/2020,still,very,very still,,very still,539
11/10/2020,wind,, wind,, wind,2
11/11/2020,still,very,very still,, breeze,10
11/12/2020,still,very,very still,,good breeze,37
11/13/2020,still,very,very still,,slight breeze,76
11/14/2020,still,very,very still,,very slight breeze,16
11/15/2020,breeze,, breeze,,gentle breeze,22
11/16/2020,breeze,good,good breeze,,strong breeze,47
11/17/2020,still,very,very still,,startvery still,1
11/18/2020,still,very,very still,,quite still,1
11/19/2020,breeze,slight,slight breeze,, still,1
11/20/2020,breeze,very slight,very slight breeze,,nowvery still,1
11/21/2020,breeze,good,good breeze,,very strong breeze,4
11/22/2020,breeze,gentle,gentle breeze,,strong wind,3
11/23/2020,still,very,very still,,,
11/24/2020,still,very,very still,,,
11/25/2020,still,very,very still,,,
11/26/2020,still,very,very still,,,
11/27/2020,still,very,very still,,,
11/28/2020,still,very,very still,,,
11/29/2020,breeze,slight,slight breeze,,,
11/30/2020,breeze,slight,slight breeze,,,
12/01/2020,breeze,slight,slight breeze,,,
12/02/2020,breeze,good,good breeze,,,
12/03/2020,breeze,slight,slight breeze,,,
12/04/2020,breeze,good,good breeze,,,
12/05/2020,still,very,very still,,,
12/06/2020,still,very,very still,,,
12/07/2020,breeze,slight,slight breeze,,,
12/08/2020,breeze,strong,strong breeze,,,
12/09/2020,breeze,, breeze,,,
12/10/2020,still,very,very still,,,
12/11/2020,still,startvery,startvery still,,,
12/12/2020,still,very,very still,,,
12/13/2020,breeze,gentle,gentle breeze,,,
12/14/2020,still,very,very still,,,
12/15/2020,still,very,very still,,,
12/16/2020,still,very,very still,,,
12/17/2020,still,very,very still,,,
12/18/2020,still,very,very still,,,
12/19/2020,still,very,very still,,,
12/20/2020,breeze,good,good breeze,,,
12/21/2020,breeze,good,good breeze,,,
12/22/2020,still,very,very still,,,
12/23/2020,breeze,very slight,very slight breeze,,,
12/24/2020,breeze,gentle,gentle breeze,,,
12/25/2020,breeze,strong,strong breeze,,,
12/26/2020,still,very,very still,,,
12/27/2020,still,very,very still,,,
12/28/2020,breeze,slight,slight breeze,,,
12/29/2020,breeze,gentle,gentle breeze,,,
12/30/2020,breeze,, breeze,,,
12/31/2020,still,very,very still,,,
01/01/2021,still,very,very still,,,
01/02/2021,still,very,very still,,,
01/03/2021,still,very,very still,,,
01/04/2021,still,very,very still,,,
01/05/2021,still,very,very still,,,
01/06/2021,breeze,good,good breeze,,,
01/07/2021,still,very,very still,,,
01/08/2021,still,very,very still,,,
01/09/2021,breeze,slight,slight breeze,,,
01/10/2021,breeze,slight,slight breeze,,,
01/11/2021,breeze,gentle,gentle breeze,,,
01/12/2021,breeze,very slight,very slight breeze,,,
1/13/2021,breeze,slight,slight breeze,,,
1/14/2021,breeze,good,good breeze,,,
1/15/2021,breeze,slight,slight breeze,,,
1/16/2021,still,quite,quite still,,,
1/17/2021,breeze,very slight,very slight breeze,,,
1/18/2021,still,very,very still,,,
1/19/2021,still,very,very still,,,
1/20/2021,still,very,very still,,,
1/21/2021,breeze,good,good breeze,,,
1/22/2021,still,very,very still,,,
1/23/2021,still,very,very still,,,
1/24/2021,breeze,good,good breeze,,,
1/25/2021,breeze,slight,slight breeze,,,
1/26/2021,still,very,very still,,,
1/27/2021,breeze,slight,slight breeze,,,
1/28/2021,still,, still,,,
1/29/2021,still,nowvery,nowvery still,,,
1/30/2021,breeze,, breeze,,,
1/31/2021,breeze,strong,strong breeze,,,
02/02/2021,still,very,very still,,,
02/03/2021,breeze,slight,slight breeze,,,
02/04/2021,still,very,very still,,,
02/05/2021,breeze,good,good breeze,,,
02/06/2021,breeze,good,good breeze,,,
02/07/2021,still,very,very still,,,
02/08/2021,still,very,very still,,,
02/09/2021,still,very,very still,,,
02/10/2021,still,very,very still,,,
02/11/2021,still,very,very still,,,
02/12/2021,still,very,very still,,,
2/13/2021,still,very,very still,,,
2/14/2021,breeze,strong,strong breeze,,,
2/15/2021,still,very,very still,,,
2/16/2021,still,very,very still,,,
2/17/2021,breeze,very strong,very strong breeze,,,
2/18/2021,breeze,strong,strong breeze,,,
2/19/2021,still,very,very still,,,
2/20/2021,still,very,very still,,,
2/21/2021,breeze,, breeze,,,
2/22/2021,breeze,strong,strong breeze,,,
2/23/2021,breeze,strong,strong breeze,,,
2/24/2021,still,very,very still,,,
2/25/2021,still,very,very still,,,
2/26/2021,still,very,very still,,,
2/27/2021,breeze,slight,slight breeze,,,
2/28/2021,still,very,very still,,,
03/01/2021,wind,strong,strong wind,,,
03/02/2021,breeze,strong,strong breeze,,,
03/03/2021,breeze,slight,slight breeze,,,
03/04/2021,still,very,very still,,,
03/05/2021,still,very,very still,,,
03/06/2021,still,very,very still,,,
03/07/2021,still,very,very still,,,
03/08/2021,still,very,very still,,,
03/09/2021,still,very,very still,,,
03/10/2021,still,very,very still,,,
03/11/2021,breeze,slight,slight breeze,,,
03/12/2021,breeze,slight,slight breeze,,,
3/13/2021,breeze,very slight,very slight breeze,,,
3/14/2021,still,very,very still,,,
3/15/2021,breeze,slight,slight breeze,,,
3/16/2021,still,very,very still,,,
3/17/2021,still,very,very still,,,
3/18/2021,still,very,very still,,,
3/19/2021,still,very,very still,,,
3/20/2021,still,very,very still,,,
3/21/2021,breeze,slight,slight breeze,,,
3/22/2021,still,very,very still,,,
3/23/2021,still,very,very still,,,
